Country Name,Country Code,Series Name,Series Code,2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Algeria,DZA,"""Income share held by lowest 20%""",SI.DST.FRST.20,..,..,..,..,..
Algeria,DZA,"""Life expectancy at birth, total (years)""",SP.DYN.LE00.IN,76.09,76.298,76.499,76.693,..
Algeria,DZA,"""Mortality rate, under-5 (per 1,000 live births)""",SH.DYN.MORT,24.9,24.5,24,23.5,..
Algeria,DZA,"""Immunization, measles (% of children ages 12-23 months)""",SH.IMM.MEAS,95,94,88,80,..
Algeria,DZA,"""GDP per capita (current US$)""",NY.GDP.PCAP.CD,4177.867517,3946.421445,4044.298372,4114.715061,..
Algeria,DZA,"""International tourism, number of arrivals""",ST.INT.ARVL,1710000,2039000,2451000,2657000,..
Algeria,DZA,"""International tourism, number of departures""",ST.INT.DPRT,3638000,4530000,5058000,5610000,..
Algeria,DZA,"""Population density (people per sq. km of land area)""",EN.POP.DNST,16.68025267,17.02595749,17.37771461,17.73007507,..
Algeria,DZA,"""Population in urban agglomerations of more than 1 million""",EN.URB.MCTY,2592330,2625638,2659373,2693542,..
Algeria,DZA,"""Population ages 0-14, female""",SP.POP.0014.FE.IN,5583284,5783698,6005664,6232890,..
Algeria,DZA,"""Population ages 0-14, male""",SP.POP.0014.MA.IN,5821646,6030732,6261929,6498425,..
Algeria,DZA,"""Population ages 15-64, female""",SP.POP.1564.FE.IN,12878041,13032215,13165826,13290323,..
Algeria,DZA,"""Population ages 15-64, male""",SP.POP.1564.MA.IN,13115548,13268441,13399086,13520007,..
Algeria,DZA,"""Population ages 65 and above, male""",SP.POP.65UP.MA.IN,1126700,1182731,1245754,1313567,..
Algeria,DZA,"""Population ages 65 and above, female""",SP.POP.65UP.FE.IN,1202806,1253587,1310941,1373215,..
Algeria,DZA,"""Population, female""",SP.POP.TOTL.FE.IN,19664131,20069500,20482430,20896429,..
Algeria,DZA,"""Population, male""",SP.POP.TOTL.MA.IN,20063894,20481904,20906768,21332000,..
Algeria,DZA,"""Population, total""",SP.POP.TOTL,39728025,40551404,41389198,42228429,..
American Samoa,ASM,"""Poverty headcount ratio at national poverty lines (% of population)""",SI.POV.NAHC,..,..,..,..,..
American Samoa,ASM,"""Income share held by lowest 20%""",SI.DST.FRST.20,..,..,..,..,..
American Samoa,ASM,"""Life expectancy at birth, total (years)""",SP.DYN.LE00.IN,..,..,..,..,..
American Samoa,ASM,"""Mortality rate, under-5 (per 1,000 live births)""",SH.DYN.MORT,..,..,..,..,..
American Samoa,ASM,"""Immunization, measles (% of children ages 12-23 months)""",SH.IMM.MEAS,..,..,..,..,..
American Samoa,ASM,"""GDP per capita (current US$)""",NY.GDP.PCAP.CD,11843.33118,11696.95556,10823.4448,11466.69071,..
American Samoa,ASM,"""International tourism, number of arrivals""",ST.INT.ARVL,20300,20100,20000,20200,..
American Samoa,ASM,"""International tourism, number of departures""",ST.INT.DPRT,..,..,..,..,..
American Samoa,ASM,"""Population density (people per sq. km of land area)""",EN.POP.DNST,279.06,278.705,278.1,277.325,..
American Samoa,ASM,"""Population in urban agglomerations of more than 1 million""",EN.URB.MCTY,..,..,..,..,..
American Samoa,ASM,"""Population ages 0-14, female""",SP.POP.0014.FE.IN,..,..,..,..,..
American Samoa,ASM,"""Population ages 0-14, male""",SP.POP.0014.MA.IN,..,..,..,..,..
American Samoa,ASM,"""Population ages 15-64, female""",SP.POP.1564.FE.IN,..,..,..,..,..
American Samoa,ASM,"""Population ages 15-64, male""",SP.POP.1564.MA.IN,..,..,..,..,..
American Samoa,ASM,"""Population ages 65 and above, male""",SP.POP.65UP.MA.IN,..,..,..,..,..
American Samoa,ASM,"""Population ages 65 and above, female""",SP.POP.65UP.FE.IN,..,..,..,..,..
American Samoa,ASM,"""Population, female""",SP.POP.TOTL.FE.IN,..,..,..,..,..
American Samoa,ASM,"""Population, male""",SP.POP.TOTL.MA.IN,..,..,..,..,..
American Samoa,ASM,"""Population, total""",SP.POP.TOTL,55812,55741,55620,55465,..
Andorra,AND,"""Poverty headcount ratio at national poverty lines (% of population)""",SI.POV.NAHC,..,..,..,..,..
Andorra,AND,"""Income share held by lowest 20%""",SI.DST.FRST.20,..,..,..,..,..
Andorra,AND,"""Life expectancy at birth, total (years)""",SP.DYN.LE00.IN,..,..,..,..,..
Andorra,AND,"""Mortality rate, under-5 (per 1,000 live births)""",SH.DYN.MORT,3.3,3.1,3,2.9,..
Andorra,AND,"""Immunization, measles (% of children ages 12-23 months)""",SH.IMM.MEAS,96,97,99,99,..
Andorra,AND,"""GDP per capita (current US$)""",NY.GDP.PCAP.CD,36039.6535,37224.10892,39134.39337,42029.76274,..
Andorra,AND,"""International tourism, number of arrivals""",ST.INT.ARVL,2663000,2819000,3003000,3042000,..
Andorra,AND,"""International tourism, number of departures""",ST.INT.DPRT,..,..,..,..,..
Andorra,AND,"""Population density (people per sq. km of land area)""",EN.POP.DNST,165.9808511,164.4617021,163.8319149,163.8425532,..
Andorra,AND,"""Population in urban agglomerations of more than 1 million""",EN.URB.MCTY,..,..,..,..,..
Andorra,AND,"""Population ages 0-14, female""",SP.POP.0014.FE.IN,..,..,..,..,..
Andorra,AND,"""Population ages 0-14, male""",SP.POP.0014.MA.IN,..,..,..,..,..
Andorra,AND,"""Population ages 15-64, female""",SP.POP.1564.FE.IN,..,..,..,..,..
Andorra,AND,"""Population ages 15-64, male""",SP.POP.1564.MA.IN,..,..,..,..,..
Andorra,AND,"""Population ages 65 and above, male""",SP.POP.65UP.MA.IN,..,..,..,..,..
Andorra,AND,"""Population ages 65 and above, female""",SP.POP.65UP.FE.IN,..,..,..,..,..
Andorra,AND,"""Population, female""",SP.POP.TOTL.FE.IN,..,..,..,..,..
Andorra,AND,"""Population, male""",SP.POP.TOTL.MA.IN,..,..,..,..,..
Andorra,AND,"""Population, total""",SP.POP.TOTL,78011,77297,77001,77006,..
Angola,AGO,"""Poverty headcount ratio at national poverty lines (% of population)""",SI.POV.NAHC,..,..,..,..,..
Angola,AGO,"""Income share held by lowest 20%""",SI.DST.FRST.20,..,..,..,3.8,..
Angola,AGO,"""Life expectancy at birth, total (years)""",SP.DYN.LE00.IN,59.398,59.925,60.379,60.782,..
Angola,AGO,"""Mortality rate, under-5 (per 1,000 live births)""",SH.DYN.MORT,88.1,84,80.4,77.2,..
Angola,AGO,"""Immunization, measles (% of children ages 12-23 months)""",SH.IMM.MEAS,51,45,42,50,..
Angola,AGO,"""GDP per capita (current US$)""",NY.GDP.PCAP.CD,4166.979684,3506.072885,4095.812942,3432.385736,..
Angola,AGO,"""International tourism, number of arrivals""",ST.INT.ARVL,592000,397000,261000,218000,..
Angola,AGO,"""International tourism, number of departures""",ST.INT.DPRT,..,..,..,..,..
Angola,AGO,"""Population density (people per sq. km of land area)""",EN.POP.DNST,22.3665525,23.13506377,23.91653806,24.71305206,..
Angola,AGO,"""Population in urban agglomerations of more than 1 million""",EN.URB.MCTY,7023206,7265449,7515345,7774200,..
Angola,AGO,"""Population ages 0-14, female""",SP.POP.0014.FE.IN,6566961,6776879,6984651,7189744,..
Angola,AGO,"""Population ages 0-14, male""",SP.POP.0014.MA.IN,6569082,6794455,7015191,7231968,..
Angola,AGO,"""Population ages 15-64, female""",SP.POP.1564.FE.IN,7171196,7435712,7711810,8000112,..
Angola,AGO,"""Population ages 15-64, male""",SP.POP.1564.MA.IN,6942530,7183298,7437431,7705073,..
Angola,AGO,"""Population ages 65 and above, male""",SP.POP.65UP.MA.IN,279632,288603,296687,304406,..
Angola,AGO,"""Population ages 65 and above, female""",SP.POP.65UP.FE.IN,354980,363537,370978,378459,..
Angola,AGO,"""Population, female""",SP.POP.TOTL.FE.IN,14093137,14576128,15067439,15568315,..
Angola,AGO,"""Population, male""",SP.POP.TOTL.MA.IN,13791244,14266356,14749309,15241447,..
Angola,AGO,"""Population, total""",SP.POP.TOTL,27884381,28842484,29816748,30809762,..
Antigua and Barbuda,ATG,"""Poverty headcount ratio at national poverty lines (% of population)""",SI.POV.NAHC,..,..,..,..,..
Antigua and Barbuda,ATG,"""Income share held by lowest 20%""",SI.DST.FRST.20,..,..,..,..,..
Antigua and Barbuda,ATG,"""Life expectancy at birth, total (years)""",SP.DYN.LE00.IN,76.483,76.617,76.752,76.885,..
Antigua and Barbuda,ATG,"""Mortality rate, under-5 (per 1,000 live births)""",SH.DYN.MORT,7.3,7,6.7,6.4,..
Antigua and Barbuda,ATG,"""Immunization, measles (% of children ages 12-23 months)""",SH.IMM.MEAS,91,88,99,96,..
Antigua and Barbuda,ATG,"""GDP per capita (current US$)""",NY.GDP.PCAP.CD,14286.09316,15197.61746,15383.41519,16726.98081,..
Antigua and Barbuda,ATG,"""International tourism, number of arrivals""",ST.INT.ARVL,250000,265000,247000,269000,..
Antigua and Barbuda,ATG,"""International tourism, number of departures""",ST.INT.DPRT,..,..,..,..,..
Antigua and Barbuda,ATG,"""Population density (people per sq. km of land area)""",EN.POP.DNST,212.65,214.8340909,216.8772727,218.8318182,..
Antigua and Barbuda,ATG,"""Population in urban agglomerations of more than 1 million""",EN.URB.MCTY,..,..,..,..,..
Antigua and Barbuda,ATG,"""Population ages 0-14, female""",SP.POP.0014.FE.IN,10430,10455,10470,10491,..
Antigua and Barbuda,ATG,"""Population ages 0-14, male""",SP.POP.0014.MA.IN,10691,10725,10747,10770,..
Antigua and Barbuda,ATG,"""Population ages 15-64, female""",SP.POP.1564.FE.IN,33973,34279,34551,34803,..
Antigua and Barbuda,ATG,"""Population ages 15-64, male""",SP.POP.1564.MA.IN,30839,31165,31475,31746,..
Antigua and Barbuda,ATG,"""Population ages 65 and above, male""",SP.POP.65UP.MA.IN,3497,3631,3764,3904,..
Antigua and Barbuda,ATG,"""Population ages 65 and above, female""",SP.POP.65UP.FE.IN,4137,4272,4419,4570,..
Antigua and Barbuda,ATG,"""Population, female""",SP.POP.TOTL.FE.IN,48540,49006,49440,49865,..
Antigua and Barbuda,ATG,"""Population, male""",SP.POP.TOTL.MA.IN,45026,45521,45986,46421,..
Antigua and Barbuda,ATG,"""Population, total""",SP.POP.TOTL,93566,94527,95426,96286,..
Argentina,ARG,"""Poverty headcount ratio at national poverty lines (% of population)""",SI.POV.NAHC,..,30.3,25.7,32,..
Argentina,ARG,"""Income share held by lowest 20%""",SI.DST.FRST.20,..,4.9,5.1,5,..
Argentina,ARG,"""Life expectancy at birth, total (years)""",SP.DYN.LE00.IN,76.068,76.221,76.372,76.52,..
Argentina,ARG,"""Mortality rate, under-5 (per 1,000 live births)""",SH.DYN.MORT,11.5,10.9,10.4,9.9,..
Argentina,ARG,"""Immunization, measles (% of children ages 12-23 months)""",SH.IMM.MEAS,89,90,89,94,..
Argentina,ARG,"""GDP per capita (current US$)""",NY.GDP.PCAP.CD,13789.06042,12790.24247,14591.86338,11683.94962,..
Argentina,ARG,"""International tourism, number of arrivals""",ST.INT.ARVL,6816000,6668000,6711000,6942000,..
Argentina,ARG,"""International tourism, number of departures""",ST.INT.DPRT,7807000,10417000,12213000,11130000,..
Argentina,ARG,"""Population density (people per sq. km of land area)""",EN.POP.DNST,15.76063274,15.92813508,16.09419079,16.2585101,..
Argentina,ARG,"""Population in urban agglomerations of more than 1 million""",EN.URB.MCTY,18717857,18856316,18995646,19136241,..
Argentina,ARG,"""Population ages 0-14, female""",SP.POP.0014.FE.IN,5338019,5366519,5389269,5407790,..
Argentina,ARG,"""Population ages 0-14, male""",SP.POP.0014.MA.IN,5536053,5565696,5589652,5609438,..
Argentina,ARG,"""Population ages 15-64, female""",SP.POP.1564.FE.IN,14031690,14174088,14318968,14464449,..
Argentina,ARG,"""Population ages 15-64, male""",SP.POP.1564.MA.IN,13598655,13750132,13906479,14065973,..
Argentina,ARG,"""Population ages 65 and above, male""",SP.POP.65UP.MA.IN,1881996,1929693,1976159,2021288,..
Argentina,ARG,"""Population ages 65 and above, female""",SP.POP.65UP.FE.IN,2745553,2804240,2864284,2925564,..
Argentina,ARG,"""Population, female""",SP.POP.TOTL.FE.IN,22115261,22344847,22572521,22797803,..
Argentina,ARG,"""Population, male""",SP.POP.TOTL.MA.IN,21016705,21245521,21472290,21696699,..
Argentina,ARG,"""Population, total""",SP.POP.TOTL,43131966,43590368,44044811,44494502,..
Armenia,ARM,"""Poverty headcount ratio at national poverty lines (% of population)""",SI.POV.NAHC,29.8,29.4,25.7,23.5,..
Armenia,ARM,"""Income share held by lowest 20%""",SI.DST.FRST.20,8.2,7.9,8.4,8.1,..
Armenia,ARM,"""Life expectancy at birth, total (years)""",SP.DYN.LE00.IN,74.467,74.64,74.797,74.945,..
Armenia,ARM,"""Mortality rate, under-5 (per 1,000 live births)""",SH.DYN.MORT,14.4,13.7,13,12.4,..
Armenia,ARM,"""Immunization, measles (% of children ages 12-23 months)""",SH.IMM.MEAS,97,97,96,95,..
Armenia,ARM,"""GDP per capita (current US$)""",NY.GDP.PCAP.CD,3607.296697,3591.829276,3914.501268,4212.070943,..
Armenia,ARM,"""International tourism, number of arrivals""",ST.INT.ARVL,1192000,1260000,1495000,1652000,..
Armenia,ARM,"""International tourism, number of departures""",ST.INT.DPRT,1187000,1263000,1482000,1623000,..
Armenia,ARM,"""Population density (people per sq. km of land area)""",EN.POP.DNST,102.75915,103.1312259,103.4355111,103.6802248,..
Armenia,ARM,"""Population in urban agglomerations of more than 1 million""",EN.URB.MCTY,1071265,1074282,1077299,1080324,..
Armenia,ARM,"""Population ages 0-14, female""",SP.POP.0014.FE.IN,273735,277562,281506,285125,..
Armenia,ARM,"""Population ages 0-14, male""",SP.POP.0014.MA.IN,313716,317322,320854,323941,..
Armenia,ARM,"""Population ages 15-64, female""",SP.POP.1564.FE.IN,1084851,1083197,1080472,1076744,..
Armenia,ARM,"""Population ages 15-64, male""",SP.POP.1564.MA.IN,935027,935722,935215,933788,..
Armenia,ARM,"""Population ages 65 and above, male""",SP.POP.65UP.MA.IN,126587,127970,129302,130888,..
Armenia,ARM,"""Population ages 65 and above, female""",SP.POP.65UP.FE.IN,191637,194373,197460,201290,..
Armenia,ARM,"""Population, female""",SP.POP.TOTL.FE.IN,1550223,1555132,1559438,1563160,..
Armenia,ARM,"""Population, male""",SP.POP.TOTL.MA.IN,1375330,1381014,1385371,1388616,..
Armenia,ARM,"""Population, total""",SP.POP.TOTL,2925553,2936146,2944809,2951776,..
Aruba,ABW,"""Poverty headcount ratio at national poverty lines (% of population)""",SI.POV.NAHC,..,..,..,..,..
Aruba,ABW,"""Income share held by lowest 20%""",SI.DST.FRST.20,..,..,..,..,..
Aruba,ABW,"""Life expectancy at birth, total (years)""",SP.DYN.LE00.IN,75.725,75.868,76.01,76.152,..
Aruba,ABW,"""Mortality rate, under-5 (per 1,000 live births)""",SH.DYN.MORT,..,..,..,..,..
Aruba,ABW,"""Immunization, measles (% of children ages 12-23 months)""",SH.IMM.MEAS,..,..,..,..,..
Aruba,ABW,"""GDP per capita (current US$)""",NY.GDP.PCAP.CD,25796.38025,25239.60041,25630.26649,..,..
Aruba,ABW,"""International tourism, number of arrivals""",ST.INT.ARVL,1225000,1102000,1070500,1082000,..
Aruba,ABW,"""International tourism, number of departures""",ST.INT.DPRT,..,..,..,..,..
Aruba,ABW,"""Population density (people per sq. km of land area)""",EN.POP.DNST,579.6722222,582.6222222,585.3666667,588.0277778,..
Aruba,ABW,"""Population in urban agglomerations of more than 1 million""",EN.URB.MCTY,..,..,..,..,..
Aruba,ABW,"""Population ages 0-14, female""",SP.POP.0014.FE.IN,9575,9396,9297,9252,..
Aruba,ABW,"""Population ages 0-14, male""",SP.POP.0014.MA.IN,9940,9752,9646,9592,..
Aruba,ABW,"""Population ages 15-64, female""",SP.POP.1564.FE.IN,37915,38078,38127,38097,..
Aruba,ABW,"""Population ages 15-64, male""",SP.POP.1564.MA.IN,34249,34431,34524,34559,..
Aruba,ABW,"""Population ages 65 and above, male""",SP.POP.65UP.MA.IN,5409,5641,5864,6093,..
Aruba,ABW,"""Population ages 65 and above, female""",SP.POP.65UP.FE.IN,7253,7575,7907,8252,..
Aruba,ABW,"""Population, female""",SP.POP.TOTL.FE.IN,54743,55048,55331,55601,..
Aruba,ABW,"""Population, male""",SP.POP.TOTL.MA.IN,49598,49824,50035,50244,..
Aruba,ABW,"""Population, total""",SP.POP.TOTL,104341,104872,105366,105845,..
Australia,AUS,"""Poverty headcount ratio at national poverty lines (% of population)""",SI.POV.NAHC,..,..,..,..,..
Australia,AUS,"""Income share held by lowest 20%""",SI.DST.FRST.20,..,..,..,..,..
Australia,AUS,"""Life expectancy at birth, total (years)""",SP.DYN.LE00.IN,82.4,82.44878049,82.5,82.74878049,..
Australia,AUS,"""Mortality rate, under-5 (per 1,000 live births)""",SH.DYN.MORT,3.9,3.8,3.7,3.7,..
Australia,AUS,"""Immunization, measles (% of children ages 12-23 months)""",SH.IMM.MEAS,95,95,95,95,..
Australia,AUS,"""GDP per capita (current US$)""",NY.GDP.PCAP.CD,56755.72171,49971.13146,54066.47127,57373.68668,..
Australia,AUS,"""International tourism, number of arrivals""",ST.INT.ARVL,7449000,8269000,8815000,9246000,..
Australia,AUS,"""International tourism, number of departures""",ST.INT.DPRT,9810000,10390000,10932000,11403000,..
Australia,AUS,"""Population density (people per sq. km of land area)""",EN.POP.DNST,3.100112596,3.144935531,3.198361419,3.249129487,..
Australia,AUS,"""Population in urban agglomerations of more than 1 million""",EN.URB.MCTY,14365164,14641898,14924257,15212363,..
Australia,AUS,"""Population ages 0-14, female""",SP.POP.0014.FE.IN,2187070,2230783,2283149,2334187,..
Australia,AUS,"""Population ages 0-14, male""",SP.POP.0014.MA.IN,2311139,2353914,2407153,2460104,..
Australia,AUS,"""Population ages 15-64, female""",SP.POP.1564.FE.IN,7880342,7965067,8055501,8132842,..
Australia,AUS,"""Population ages 15-64, male""",SP.POP.1564.MA.IN,7899670,7978294,8066288,8144071,..
Australia,AUS,"""Population ages 65 and above, male""",SP.POP.65UP.MA.IN,1656493,1717410,1778788,1837298,..
Australia,AUS,"""Population ages 65 and above, female""",SP.POP.65UP.FE.IN,1881281,1945439,2010982,2074185,..
Australia,AUS,"""Population, female""",SP.POP.TOTL.FE.IN,11948693,12141288,12349632,12541215,..
Australia,AUS,"""Population, male""",SP.POP.TOTL.MA.IN,11867302,12049619,12252228,12441473,..
Australia,AUS,"""Population, total""",SP.POP.TOTL,23815995,24190907,24601860,24982688,..
Austria,AUT,"""Poverty headcount ratio at national poverty lines (% of population)""",SI.POV.NAHC,..,..,..,..,..
Austria,AUT,"""Income share held by lowest 20%""",SI.DST.FRST.20,7.9,7.7,8,..,..
Austria,AUT,"""Life expectancy at birth, total (years)""",SP.DYN.LE00.IN,81.1902439,81.64146341,81.64390244,81.64390244,..
Austria,AUT,"""Mortality rate, under-5 (per 1,000 live births)""",SH.DYN.MORT,3.7,3.6,3.6,3.5,..
Austria,AUT,"""Immunization, measles (% of children ages 12-23 months)""",SH.IMM.MEAS,96,95,96,94,..
Austria,AUT,"""GDP per capita (current US$)""",NY.GDP.PCAP.CD,44178.04738,45237.80509,47431.63061,51461.95478,..
Austria,AUT,"""International tourism, number of arrivals""",ST.INT.ARVL,26728000,28121000,29460000,30816000,..
Austria,AUT,"""International tourism, number of departures""",ST.INT.DPRT,10628000,11534000,11491000,11883000,..
Austria,AUT,"""Population density (people per sq. km of land area)""",EN.POP.DNST,104.7307927,105.8694934,106.6074453,107.2069267,..
Austria,AUT,"""Population in urban agglomerations of more than 1 million""",EN.URB.MCTY,1834982,1856622,1878456,1900547,..
Austria,AUT,"""Population ages 0-14, female""",SP.POP.0014.FE.IN,593860,601675,607706,612946,..
Austria,AUT,"""Population ages 0-14, male""",SP.POP.0014.MA.IN,626489,636364,644272,651075,..
Austria,AUT,"""Population ages 15-64, female""",SP.POP.1564.FE.IN,2886703,2910090,2922118,2927605,..
Austria,AUT,"""Population ages 15-64, male""",SP.POP.1564.MA.IN,2907318,2936493,2955757,2969088,..
Austria,AUT,"""Population ages 65 and above, male""",SP.POP.65UP.MA.IN,697241,710023,719197,726772,..
Austria,AUT,"""Population ages 65 and above, female""",SP.POP.65UP.FE.IN,931088,942022,948516,953036,..
Austria,AUT,"""Population, female""",SP.POP.TOTL.FE.IN,4411651,4453787,4478340,4493586,..
Austria,AUT,"""Population, male""",SP.POP.TOTL.MA.IN,4231048,4282881,4319226,4346935,..
Austria,AUT,"""Population, total""",SP.POP.TOTL,8642699,8736668,8797566,8840521,..
Azerbaijan,AZE,"""Poverty headcount ratio at national poverty lines (% of population)""",SI.POV.NAHC,..,..,..,..,..
Azerbaijan,AZE,"""Income share held by lowest 20%""",SI.DST.FRST.20,..,..,..,..,..
Azerbaijan,AZE,"""Life expectancy at birth, total (years)""",SP.DYN.LE00.IN,72.266,72.493,72.693,72.864,..
Azerbaijan,AZE,"""Mortality rate, under-5 (per 1,000 live births)""",SH.DYN.MORT,26.3,24.5,22.9,21.5,..
Azerbaijan,AZE,"""Immunization, measles (% of children ages 12-23 months)""",SH.IMM.MEAS,98,98,98,96,..
Azerbaijan,AZE,"""GDP per capita (current US$)""",NY.GDP.PCAP.CD,5500.320497,3880.738731,4147.089716,4721.178087,..
Azerbaijan,AZE,"""International tourism, number of arrivals""",ST.INT.ARVL,1922000,2044000,2454000,2633000,..
Azerbaijan,AZE,"""International tourism, number of departures""",ST.INT.DPRT,3256000,3592000,3447000,3919000,..
Azerbaijan,AZE,"""Population density (people per sq. km of land area)""",EN.POP.DNST,116.7310795,118.033289,119.1972058,120.2653199,..
Azerbaijan,AZE,"""Population in urban agglomerations of more than 1 million""",EN.URB.MCTY,2206320,2232526,2258971,2285729,..
Azerbaijan,AZE,"""Population ages 0-14, female""",SP.POP.0014.FE.IN,1024447,1048538,1067071,1081865,..
Azerbaijan,AZE,"""Population ages 0-14, male""",SP.POP.0014.MA.IN,1182734,1209112,1227657,1241007,..
Azerbaijan,AZE,"""Population ages 15-64, female""",SP.POP.1564.FE.IN,3496370,3514444,3529177,3539824,..
Azerbaijan,AZE,"""Population ages 15-64, male""",SP.POP.1564.MA.IN,3392252,3416271,3439877,3461303,..
Azerbaijan,AZE,"""Population ages 65 and above, male""",SP.POP.65UP.MA.IN,226763,234391,244201,256084,..
Azerbaijan,AZE,"""Population ages 65 and above, female""",SP.POP.65UP.FE.IN,326774,335056,346050,359716,..
Azerbaijan,AZE,"""Population, female""",SP.POP.TOTL.FE.IN,4847591,4898038,4942298,4981405,..
Azerbaijan,AZE,"""Population, male""",SP.POP.TOTL.MA.IN,4801750,4859774,4911735,4958395,..
Azerbaijan,AZE,"""Population, total""",SP.POP.TOTL,9649341,9757812,9854033,9939800,..
"Bahamas, The",BHS,"""Poverty headcount ratio at national poverty lines (% of population)""",SI.POV.NAHC,..,..,..,..,..
"Bahamas, The",BHS,"""Income share held by lowest 20%""",SI.DST.FRST.20,..,..,..,..,..
"Bahamas, The",BHS,"""Life expectancy at birth, total (years)""",SP.DYN.LE00.IN,73.088,73.329,73.554,73.752,..
"Bahamas, The",BHS,"""Mortality rate, under-5 (per 1,000 live births)""",SH.DYN.MORT,11.2,10.9,10.5,10.2,..
"Bahamas, The",BHS,"""Immunization, measles (% of children ages 12-23 months)""",SH.IMM.MEAS,94,89,90,89,..
